generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,41362,0,0.3027
2,1000,1000,10000,1000,2,45272,0,0.3002
2,1000,1000,10000,1000,2,37175,0,0.2970
2,1000,1000,10000,1000,2,38387,0,0.3026
2,1000,1000,10000,1000,2,39080,0,0.2952
2,1000,1000,10000,1000,2,27197,0,0.2944
2,1000,1000,10000,1000,2,42449,0,0.2966
2,1000,1000,10000,1000,2,29139,0,0.2946
2,1000,1000,10000,1000,2,28846,0,0.2934
2,1000,1000,10000,1000,2,49190,0,0.2965


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,52760,0,0.3128
2,1000,1000,10000,1000,2,101637,0,0.3130
2,1000,1000,10000,1000,2,65014,0,0.3032
2,1000,1000,10000,1000,2,61407,0,0.3120
2,1000,1000,10000,1000,2,52484,0,0.3206
2,1000,1000,10000,1000,2,88658,0,0.3127
2,1000,1000,10000,1000,2,59267,0,0.3121
2,1000,1000,10000,1000,2,51851,0,0.3074
2,1000,1000,10000,1000,2,70141,0,0.3129
2,1000,1000,10000,1000,2,58456,0,0.3078


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,116738,0,0.3286
2,1000,1000,10000,1000,2,111453,0,0.3243
2,1000,1000,10000,1000,2,84462,0,0.3175
2,1000,1000,10000,1000,2,77607,0,0.3239
2,1000,1000,10000,1000,2,118016,0,0.3351
2,1000,1000,10000,1000,2,115611,0,0.3202
2,1000,1000,10000,1000,2,104411,0,0.3262
2,1000,1000,10000,1000,2,112254,0,0.3207
2,1000,1000,10000,1000,2,80847,0,0.3253
2,1000,1000,10000,1000,2,131642,0,0.3166


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,101127,0,0.3606
