generator: r, coloring kernel: d, dynamic kernel: x, no. nodes: 1000, probability: 0.100,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
34,1000,1000,8457,1000,138,0,0,1.7142
35,1000,1000,28867,1000,138,0,0,5.677
34,1000,1000,31839,1000,137,0,0,6.3525
34,1000,1000,5211,1000,138,0,0,1.0554
34,1000,1000,8710,1000,139,0,0,1.7518
35,1000,1000,11237,1000,135,0,0,2.26
34,1000,1000,6485,1000,138,0,0,1.2876
36,1000,1000,12281,1000,138,0,0,2.4955
34,1000,1000,10661,1000,137,0,0,2.1512
34,1000,1000,22014,1000,137,0,0,4.2938
,,,14576.2,,137.5,,,2.9039
,,,,,,,,
generator: r, coloring kernel: d, dynamic kernel: x, no. nodes: 1000, probability: 0.200,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
59,1000,1000,7790,1000,244,0,0,3.0148
57,1000,1000,9760,1000,244,0,0,3.7266
57,1000,1000,18498,1000,246,0,0,7.2457
56,1000,1000,7947,1000,244,0,0,3.0708
57,1000,1000,11321,1000,242,0,0,4.3965
55,1000,1000,9606,1000,245,0,0,3.73
57,1000,1000,8363,1000,245,0,0,3.3549
56,1000,1000,9712,1000,241,0,0,3.8428
56,1000,1000,13877,1000,244,0,0,5.4345
56,1000,1000,14174,1000,242,0,0,5.412
,,,11104.8,,243.7,,,4.32286
,,,,,,,,
generator: r, coloring kernel: d, dynamic kernel: x, no. nodes: 1000, probability: 0.300,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
78,1000,1000,14224,1000,350,0,0,8.3286
79,1000,1000,9612,1000,349,0,0,5.4393
79,1000,1000,15062,1000,349,0,0,8.5868
80,1000,1000,25970,1000,348,0,0,15.1423
79,1000,1000,17618,1000,348,0,0,10.2052
79,1000,1000,17052,1000,342,0,0,9.6861
79,1000,1000,23015,1000,347,0,0,13.314
78,1000,1000,35000,1000,348,10,0,20.8556
79,1000,1000,23398,1000,348,0,0,13.6215
79,1000,1000,18685,1000,350,0,0,10.8743
,,,19963.6,,347.9,,,11.60537
,,,,,,,,
generator: r, coloring kernel: d, dynamic kernel: x, no. nodes: 1000, probability: 0.400,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
101,1000,1000,35000,1000,445,12,0,27.2869
102,1000,1000,25011,1000,449,0,0,19.4414
102,1000,1000,35000,1000,451,6,0,27.5425
101,1000,1000,35000,1000,451,7,0,27.442
103,1000,1000,18125,1000,447,0,0,13.6657
102,1000,1000,35000,1000,447,6,0,26.9202
104,1000,1000,24667,1000,447,0,0,19.0991
