generator: r; coloring kernel: m; dynamic kernel: e; movement kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
56,1000,1000,959,1000,54,0,0,1.4114
55,1000,1000,960,1000,53,0,0,1.3759
57,1000,1000,959,1000,54,0,0,1.3888
54,1000,1000,967,1000,54,0,0,1.3734
56,1000,1000,959,1000,53,0,0,1.3994
59,1000,1000,958,1000,55,0,0,1.3750
56,1000,1000,962,1000,53,0,0,1.4173
55,1000,1000,961,1000,53,0,0,1.3972
56,1000,1000,960,1000,54,0,0,1.3806
57,1000,1000,958,1000,54,0,0,1.4007


generator: r; coloring kernel: m; dynamic kernel: e; movement kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
128,1000,1000,886,1000,125,0,0,1.6092
128,1000,1000,886,1000,125,0,0,1.6039
129,1000,1000,887,1000,125,0,0,1.5787
131,1000,1000,887,1000,125,0,0,1.5813
130,1000,1000,884,1000,127,0,0,1.5512
130,1000,1000,888,1000,125,0,0,1.5914
130,1000,1000,887,1000,125,0,0,1.5554
127,1000,1000,885,1000,128,0,0,1.6001
129,1000,1000,883,1000,129,0,0,1.6225
130,1000,1000,885,1000,128,0,0,1.5879


generator: r; coloring kernel: m; dynamic kernel: e; movement kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
245,1000,1000,767,1000,244,0,0,1.6005
244,1000,1000,773,1000,239,0,0,1.5567
247,1000,1000,769,1000,244,0,0,1.5452
247,1000,1000,768,1000,243,0,0,1.5683
247,1000,1000,768,1000,243,0,0,1.6547
249,1000,1000,772,1000,239,0,0,1.7571
249,1000,1000,767,1000,244,0,0,1.6694
248,1000,1000,769,1000,242,0,0,1.5857
245,1000,1000,768,1000,244,0,0,1.5834
244,1000,1000,772,1000,239,0,0,1.5868


