generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,31451,0,0.8395
50,1000,1000,10000,1000,50,20262,0,0.8517
50,1000,1000,10000,1000,50,29932,0,0.8506
50,1000,1000,10000,1000,50,16138,0,0.8801
50,1000,1000,10000,1000,50,17133,0,0.8522
50,1000,1000,10000,1000,50,19865,0,0.8807
50,1000,1000,10000,1000,50,26429,0,0.8523
50,1000,1000,10000,1000,50,16809,0,0.8590
50,1000,1000,10000,1000,50,14037,0,0.8330
50,1000,1000,10000,1000,50,14618,0,0.8813


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,43812,0,1.0548
50,1000,1000,10000,1000,50,56326,0,1.0251
50,1000,1000,10000,1000,50,73727,0,0.9850
50,1000,1000,10000,1000,50,36094,0,0.9751
50,1000,1000,10000,1000,50,44398,0,0.9202
50,1000,1000,10000,1000,50,72692,0,0.9362
50,1000,1000,10000,1000,50,41825,0,0.9685
50,1000,1000,10000,1000,50,35782,0,0.9688
50,1000,1000,10000,1000,50,59048,0,0.9618
50,1000,1000,10000,1000,50,37968,0,0.9243


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,87992,0,1.1253
50,1000,1000,10000,1000,50,60655,0,1.0855
50,1000,1000,10000,1000,50,121089,0,1.1067
50,1000,1000,10000,1000,50,64501,0,1.0932
50,1000,1000,10000,1000,50,69190,0,1.0938
50,1000,1000,10000,1000,50,86253,0,1.1448
50,1000,1000,10000,1000,50,67958,0,1.0602
50,1000,1000,10000,1000,50,85872,0,1.0205
50,1000,1000,10000,1000,50,117053,0,1.0183
50,1000,1000,10000,1000,50,63660,0,1.0038


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,158052,0,1.1755
50,1000,1000,10000,1000,50,164690,0,1.1947
50,1000,1000,10000,1000,50,107972,0,1.1419
50,1000,1000,10000,1000,50,92763,0,1.1292
50,1000,1000,10000,1000,50,108639,0,1.1325
50,1000,1000,10000,1000,50,96783,0,1.2095
50,1000,1000,10000,1000,50,84233,0,1.1624
50,1000,1000,10000,1000,50,101395,0,1.1412
50,1000,1000,10000,1000,50,124987,0,1.1769
50,1000,1000,10000,1000,50,92156,0,1.1674


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,204252,0,1.1258
50,1000,1000,10000,1000,50,125556,0,1.1286
50,1000,1000,10000,1000,50,131754,0,1.1032
50,1000,1000,10000,1000,50,129659,0,1.1463
50,1000,1000,10000,1000,50,120678,0,1.1277
50,1000,1000,10000,1000,50,114281,0,1.0941
50,1000,1000,10000,1000,50,175415,0,1.1131
50,1000,1000,10000,1000,50,171895,0,1.1249
50,1000,1000,10000,1000,50,186080,0,1.1177
50,1000,1000,10000,1000,50,134091,0,1.1124


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,210859,0,1.2004
50,1000,1000,10000,1000,50,256276,0,1.2505
50,1000,1000,10000,1000,50,198002,0,1.2506
50,1000,1000,10000,1000,50,258473,0,1.2712
50,1000,1000,10000,1000,50,126891,0,1.3007
50,1000,1000,10000,1000,50,142463,0,1.2778
50,1000,1000,10000,1000,50,261065,0,1.3594
50,1000,1000,10000,1000,50,169384,0,1.2072
50,1000,1000,10000,1000,50,201537,0,1.1705
50,1000,1000,10000,1000,50,188616,0,1.2192


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.700;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,156010,0,1.3064
50,1000,1000,10000,1000,50,164899,0,1.3579
50,1000,1000,10000,1000,50,152507,0,1.3739
50,1000,1000,10000,1000,50,154436,0,1.3812
50,1000,1000,10000,1000,50,156093,0,1.3583
50,1000,1000,10000,1000,50,182318,0,1.3612
50,1000,1000,10000,1000,50,155362,0,1.3165
50,1000,1000,10000,1000,50,164078,0,1.3281
50,1000,1000,10000,1000,50,194751,0,1.3600
50,1000,1000,10000,1000,50,155567,0,1.3391


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,352828,0,1.3517
50,1000,1000,10000,1000,50,265417,0,1.2892
50,1000,1000,10000,1000,50,290850,0,1.3941
50,1000,1000,10000,1000,50,211964,0,1.3824
50,1000,1000,10000,1000,50,251037,0,1.3979
50,1000,1000,10000,1000,50,310250,0,1.4093
50,1000,1000,10000,1000,50,270770,0,1.4100
50,1000,1000,10000,1000,50,359477,0,1.3760
50,1000,1000,10000,1000,50,321351,0,1.3662
50,1000,1000,10000,1000,50,309171,0,1.3994


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.900;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,361304,0,1.3369
50,1000,1000,10000,1000,50,336425,0,1.3242
50,1000,1000,10000,1000,50,363005,0,1.3056
50,1000,1000,10000,1000,50,383732,0,1.3101
50,1000,1000,10000,1000,50,357454,0,1.3440
50,1000,1000,10000,1000,50,390221,0,1.3294
50,1000,1000,10000,1000,50,406285,0,1.3043
50,1000,1000,10000,1000,50,389244,0,1.3166
50,1000,1000,10000,1000,50,344697,0,1.2967
50,1000,1000,10000,1000,50,400832,0,1.3084


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 1.000;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,451725,0,1.3171
50,1000,1000,10000,1000,50,451725,0,1.3381
50,1000,1000,10000,1000,50,451725,0,1.4430
50,1000,1000,10000,1000,50,451725,0,1.3950
50,1000,1000,10000,1000,50,451725,0,1.4052
50,1000,1000,10000,1000,50,451725,0,1.4491
50,1000,1000,10000,1000,50,451725,0,1.3895
50,1000,1000,10000,1000,50,451725,0,1.3879
50,1000,1000,10000,1000,50,451725,0,1.4028
50,1000,1000,10000,1000,50,451725,0,1.4253


