generator: r, coloring kernel: i, dynamic kernel: x, no. nodes: 1000, probability: 0.100,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
33,1000,1000,50000,1000,131,255,0,9.281
34,1000,1000,50000,1000,133,222,0,9.5657
35,1000,1000,50000,1000,131,221,0,9.6966
36,1000,1000,50000,1000,135,206,0,9.5695
34,1000,1000,50000,1000,133,174,0,9.3776
35,1000,1000,50000,1000,133,272,0,9.4959
34,1000,1000,50000,1000,133,220,0,9.5721
35,1000,1000,50000,1000,134,319,0,9.5385
34,1000,1000,50000,1000,133,236,0,9.5705
35,1000,1000,50000,1000,132,229,0,9.4844
,,,,,,,,
,,,,,,,,
generator: r, coloring kernel: i, dynamic kernel: x, no. nodes: 1000, probability: 0.200,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
58,1000,1000,50000,1000,238,133,0,18.1105
55,1000,1000,50000,1000,238,120,0,18.1297
56,1000,1000,50000,1000,240,138,0,18.2152
56,1000,1000,50000,1000,238,156,0,17.9871
58,1000,1000,50000,1000,241,132,0,17.9108
57,1000,1000,50000,1000,238,189,0,17.9289
56,1000,1000,50000,1000,239,187,0,18.0048
55,1000,1000,50000,1000,241,124,0,18.2042
56,1000,1000,50000,1000,239,224,0,17.9119
58,1000,1000,50000,1000,241,146,0,18.1588



generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
80,1000,1000,50000,1000,344,63,0,28.1654
82,1000,1000,18693,1000,340,0,0,10.6552
77,1000,1000,50000,1000,345,80,0,28.4799
77,1000,1000,50000,1000,345,75,0,28.4386
79,1000,1000,50000,1000,344,97,0,28.8556
79,1000,1000,50000,1000,341,90,0,28.7439
79,1000,1000,15291,1000,345,0,0,8.8690
80,1000,1000,50000,1000,343,146,0,28.3682
78,1000,1000,50000,1000,344,140,0,27.5473
79,1000,1000,35662,1000,346,0,0,20.1337


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
104,1000,1000,37821,1000,446,0,0,27.8121
104,1000,1000,39052,1000,443,0,0,30.1553
101,1000,1000,50000,1000,449,61,0,38.4339
105,1000,1000,24723,1000,444,0,0,19.2512
102,1000,1000,50000,1000,446,31,0,38.7034
102,1000,1000,44107,1000,445,0,0,33.8488
103,1000,1000,17686,1000,444,0,0,12.9803
102,1000,1000,14287,1000,444,0,0,10.1813
101,1000,1000,34645,1000,446,0,0,25.6425
102,1000,1000,10057,1000,443,0,0,7.2410


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
129,1000,1000,8773,1000,541,0,0,8.0800
127,1000,1000,12956,1000,541,0,0,11.8702
129,1000,1000,27750,1000,544,0,0,25.7551
131,1000,1000,25313,1000,547,0,0,23.7009
128,1000,1000,16954,1000,544,0,0,15.9041
128,1000,1000,24602,1000,545,0,0,22.8154
127,1000,1000,9010,1000,541,0,0,8.0937
131,1000,1000,41422,1000,545,0,0,38.5284
130,1000,1000,16087,1000,544,0,0,15.0110
129,1000,1000,15963,1000,543,0,0,15.0042


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
