generator: r, coloring kernel: m, dynamic kernel: x, movement kernel: x, no. nodes: 1000, probabili,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
34,1000,1000,982,1000,32,0,0,1.1813
35,1000,1000,981,1000,32,0,0,1.1598
35,1000,1000,982,1000,32,0,0,1.1761
34,1000,1000,980,1000,33,0,0,1.1457
34,1000,1000,983,1000,32,0,0,1.1712
34,1000,1000,982,1000,33,0,0,1.191
34,1000,1000,982,1000,33,0,0,1.1576
35,1000,1000,982,1000,32,0,0,1.167
34,1000,1000,982,1000,32,0,0,1.164
35,1000,1000,981,1000,33,0,0,1.1548
,,,,,,,,1.16685
,,,,,,,,
generator: r, coloring kernel: m, dynamic kernel: x, movement kernel: x, no. nodes: 1000, probabili,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
56,1000,1000,960,1000,53,0,0,1.3386
57,1000,1000,959,1000,54,0,0,1.371
58,1000,1000,957,1000,55,0,0,1.383
57,1000,1000,960,1000,54,0,0,1.3718
57,1000,1000,958,1000,54,0,0,1.316
57,1000,1000,960,1000,54,0,0,1.3296
56,1000,1000,960,1000,54,0,0,1.3587
55,1000,1000,958,1000,54,0,0,1.3142
57,1000,1000,959,1000,54,0,0,1.3729
57,1000,1000,959,1000,56,0,0,1.3857
,,,,,,,,1.35415
,,,,,,,,
generator: r, coloring kernel: m, dynamic kernel: x, movement kernel: x, no. nodes: 1000, probabili,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
81,1000,1000,937,1000,77,0,0,1.482
77,1000,1000,936,1000,78,0,0,1.511
80,1000,1000,936,1000,76,0,0,1.4464
79,1000,1000,935,1000,77,0,0,1.5419
79,1000,1000,936,1000,76,0,0,1.5602
78,1000,1000,936,1000,76,0,0,1.4613
79,1000,1000,936,1000,77,0,0,1.4975
80,1000,1000,937,1000,77,0,0,1.4623
78,1000,1000,938,1000,75,0,0,1.5092
79,1000,1000,936,1000,76,0,0,1.4581
,,,,,,,,1.49299
,,,,,,,,
generator: r, coloring kernel: m, dynamic kernel: x, movement kernel: x, no. nodes: 1000, probabili,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
101,1000,1000,912,1000,100,0,0,1.5423
101,1000,1000,909,1000,103,0,0,1.5365
102,1000,1000,912,1000,100,0,0,1.4988
104,1000,1000,912,1000,99,0,0,1.5002
101,1000,1000,912,1000,100,0,0,1.5239
103,1000,1000,909,1000,102,0,0,1.5358
102,1000,1000,913,1000,100,0,0,1.5298
103,1000,1000,912,1000,101,0,0,1.525
104,1000,1000,914,1000,99,0,0,1.5046
102,1000,1000,910,1000,101,0,0,1.5433
,,,,,,,,1.52402
,,,,,,,,
generator: r, coloring kernel: m, dynamic kernel: x, movement kernel: x, no. nodes: 1000, probabili,,,
