generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
35,1000,1000,110,1000,33,0,0,0.092
35,1000,1000,110,1000,33,0,0,0.092
34,1000,1000,108,1000,33,0,3,0.088
33,1000,1000,105,1000,32,0,9,0.09
35,1000,1000,111,1000,34,0,0,0.09
34,1000,1000,108,1000,33,0,1,0.092
35,1000,1000,110,1000,33,0,0,0.096
35,1000,1000,110,1000,33,0,0,0.096
35,1000,1000,110,1000,33,0,0,0.089
34,1000,1000,108,1000,33,0,0,0.092
,,,109,,33,,,0.0917
,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 0.200;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
57,1000,1000,176,1000,55,0,0,0.261
57,1000,1000,176,1000,55,0,0,0.271
56,1000,1000,174,1000,55,0,0,0.26
56,1000,1000,174,1000,55,0,0,0.26
56,1000,1000,174,1000,55,0,1,0.259
56,1000,1000,174,1000,55,0,0,0.252
57,1000,1000,177,1000,56,0,1,0.264
56,1000,1000,174,1000,55,0,0,0.227
57,1000,1000,176,1000,55,0,0,0.275
58,1000,1000,176,1000,53,0,0,0.26
,,,175.1,,54.9,,,0.2589
,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 0.300;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
80,1000,1000,245,1000,78,0,0,0.524
81,1000,1000,247,1000,78,0,0,0.541
80,1000,1000,245,1000,78,0,0,0.522
79,1000,1000,243,1000,78,0,0,0.544
79,1000,1000,243,1000,78,0,0,0.544
80,1000,1000,244,1000,77,0,0,0.522
79,1000,1000,243,1000,78,0,0,0.522
79,1000,1000,243,1000,78,0,0,0.536
79,1000,1000,242,1000,77,0,0,0.512
79,1000,1000,243,1000,78,0,1,0.521
,,,243.8,,77.8,,,0.5288
,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 0.400;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
104,1000,1000,317,1000,102,0,0,0.894
103,1000,1000,314,1000,101,0,0,0.883
103,1000,1000,315,1000,102,0,2,0.892
102,1000,1000,312,1000,101,0,1,0.867
104,1000,1000,317,1000,102,0,0,0.907
101,1000,1000,309,1000,100,0,7,0.851
100,1000,1000,306,1000,99,0,2,0.866
104,1000,1000,316,1000,101,0,0,0.891
104,1000,1000,315,1000,100,0,0,0.869
104,1000,1000,316,1000,101,0,0,0.886
,,,313.7,,100.9,,,0.8806
,,,,,,,,
