generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
56,1000,1000,11427,10,69,0,0,0.2783,,
56,1000,1000,11477,10,69,0,0,0.2802,,
56,1000,1000,11418,10,71,0,0,0.2768,,
57,1000,1000,11295,10,78,0,0,0.2768,,
57,1000,1000,11416,10,72,0,0,0.2882,,
56.4,,,11406.6,,71.8,,,0.28006,,27.30496454
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
126,1000,1000,5313,10,166,0,0,0.2507,,
130,1000,1000,5347,10,161,0,0,0.2492,,
129,1000,1000,5397,10,159,0,0,0.2532,,
129,1000,1000,5358,10,164,0,0,0.2518,,
129,1000,1000,5347,10,175,0,0,0.2512,,
128.6,,,5352.4,,165,,,0.25122,,28.30482115
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
244,1000,1000,3007,10,324,0,0,0.229,,
243,1000,1000,2963,10,331,0,0,0.2191,,
244,1000,1000,2965,10,331,0,0,0.2245,,
245,1000,1000,3027,10,315,0,0,0.2477,,
249,1000,1000,3017,10,310,0,0,0.2081,,
245,,,2995.8,,322.2,,,0.22568,,31.51020408
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
55,1000,1000,6620,10,104,0,4,0.2257,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
129,1000,1000,4586,10,266,0,2,0.3223,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
249,1000,1000,2852,10,425,0,2,0.3435,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
57,1000,1000,11297,10,72,0,0,0.9054,,
57,1000,1000,11196,10,76,0,0,0.7939,,
56,1000,1000,11307,10,72,0,0,0.7248,,
55,1000,1000,11227,10,78,0,0,0.6924,,
56,1000,1000,11262,10,76,0,0,0.7345,,
56.2,,,11257.8,,74.8,,,0.7702,,33.09608541
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
128,1000,1000,5249,10,169,0,0,0.7827,,
128,1000,1000,5305,10,169,0,0,0.7757,,
129,1000,1000,5311,10,174,0,0,0.7894,,
130,1000,1000,5266,10,181,0,0,0.8071,,
130,1000,1000,5381,10,164,0,0,0.7959,,
129,,,5302.4,,171.4,,,0.79016,,32.86821705
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
245,1000,1000,3020,10,309,0,0,0.7819,,
243,1000,1000,3074,10,312,0,0,0.7477,,
245,1000,1000,2973,10,316,0,0,0.7308,,
246,1000,1000,3036,10,308,0,0,0.7586,,
247,1000,1000,2976,10,320,0,0,0.7053,,
245.2,,,3015.8,,313,,,0.74486,,27.65089723
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
56,1000,1000,1305,10,97,980,0,0.047,,
56,1000,1000,1811,10,76,0,0,0.072,,
56,1000,1000,2184,10,67,0,0,0.084,,
56,1000,1000,1213,10,155,0,0,0.033,,
55,1000,1000,1214,10,115,815,0,0.05,,
55.8,,,1545.4,,102,,,0.0572,,82.79569892
,,,,,,,,,,
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;,,,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s),,
