generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
57,1000,1000,2010,500,57,0,0,2.1026
56,1000,1000,2010,500,59,0,0,2.4147
57,1000,1000,2015,500,57,0,0,2.2023
57,1000,1000,2020,500,56,0,0,2.0975
57,1000,1000,2016,500,57,0,0,2.1303


generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
131,1000,1000,2010,500,129,0,0,4.0722
131,1000,1000,2010,500,129,0,0,4.0775
131,1000,1000,2008,500,128,0,0,3.9752
130,1000,1000,2012,500,126,0,0,4.0128
126,1000,1000,2010,500,128,0,0,3.9772


generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
246,1000,1000,1204,500,311,0,0,3.9838
249,1000,1000,1180,500,318,0,0,3.7860
245,1000,1000,1158,500,318,0,0,3.7329
247,1000,1000,1168,500,315,0,0,3.7947
244,1000,1000,1163,500,315,0,0,4.0617


generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
56,1000,1000,795,500,121,0,8,1.3067
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
129,1000,1000,1258,500,260,0,1,3.8458
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
246,1000,1000,1113,500,382,0,1,5.5366
generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
55,1000,1000,2007,500,60,0,0,6.0460
56,1000,1000,2007,500,60,0,0,6.1209
57,1000,1000,2010,500,59,0,0,6.1976
58,1000,1000,2011,500,58,0,0,6.2454
56,1000,1000,2009,500,57,0,0,6.3456


generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
128,1000,1000,2008,500,127,0,0,13.1325
132,1000,1000,2010,500,128,0,0,13.3690
130,1000,1000,2008,500,130,0,0,12.9264
130,1000,1000,2007,500,129,0,0,13.2335
130,1000,1000,2010,500,127,0,0,13.0603


generator: r; coloring kernel: m; dynamic kernel: x; movement kernel: o; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
245,1000,1000,1129,500,322,0,0,12.5296
247,1000,1000,1171,500,309,0,0,12.6661
246,1000,1000,1120,500,326,0,0,12.1810
242,1000,1000,1100,500,341,0,0,11.8688
246,1000,1000,1151,500,315,0,0,12.4323


