generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,922,0,1.2407
50,1000,1000,10000,1000,50,867,0,1.2462
50,1000,1000,10000,1000,50,956,0,1.2166
50,1000,1000,10000,1000,50,943,0,1.2168
50,1000,1000,10000,1000,50,905,0,1.2184
50,1000,1000,10000,1000,50,904,0,1.2181
50,1000,1000,10000,1000,50,888,0,1.2124
50,1000,1000,10000,1000,50,935,0,1.2190
50,1000,1000,10000,1000,50,946,0,1.2139
50,1000,1000,10000,1000,50,923,0,1.2154


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,2063,0,1.3723
50,1000,1000,10000,1000,50,2121,0,1.3709
50,1000,1000,10000,1000,50,2059,0,1.3572
50,1000,1000,10000,1000,50,2001,0,1.3510
50,1000,1000,10000,1000,50,1986,0,1.3523
50,1000,1000,10000,1000,50,1989,0,1.3501
50,1000,1000,10000,1000,50,2011,0,1.3511
50,1000,1000,10000,1000,50,2072,0,1.3451
50,1000,1000,10000,1000,50,2058,0,1.3373
50,1000,1000,10000,1000,50,2045,0,1.3417


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,3010,0,1.2601
50,1000,1000,10000,1000,50,2993,0,1.2610
50,1000,1000,10000,1000,50,3051,0,1.2724
50,1000,1000,10000,1000,50,3013,0,1.2707
50,1000,1000,10000,1000,50,2883,0,1.2735
50,1000,1000,10000,1000,50,3125,0,1.2795
50,1000,1000,10000,1000,50,2993,0,1.2740
50,1000,1000,10000,1000,50,3141,0,1.2720
50,1000,1000,10000,1000,50,3061,0,1.2757
50,1000,1000,10000,1000,50,3053,0,1.2748


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,3980,0,1.3659
50,1000,1000,10000,1000,50,3996,0,1.3696
50,1000,1000,10000,1000,50,4041,0,1.3722
50,1000,1000,10000,1000,50,4114,0,1.3681
50,1000,1000,10000,1000,50,3999,0,1.3614
50,1000,1000,10000,1000,50,4143,0,1.3644
50,1000,1000,10000,1000,50,3953,0,1.3600
50,1000,1000,10000,1000,50,4226,0,1.3540
50,1000,1000,10000,1000,50,4111,0,1.3624
50,1000,1000,10000,1000,50,4011,0,1.3542


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,4967,0,1.2577
50,1000,1000,10000,1000,50,5078,0,1.2649
50,1000,1000,10000,1000,50,4985,0,1.2717
50,1000,1000,10000,1000,50,4985,0,1.2738
50,1000,1000,10000,1000,50,5008,0,1.2684
50,1000,1000,10000,1000,50,5067,0,1.2737
50,1000,1000,10000,1000,50,5143,0,1.2760
50,1000,1000,10000,1000,50,5138,0,1.2732
50,1000,1000,10000,1000,50,5055,0,1.2786
50,1000,1000,10000,1000,50,5034,0,1.2817


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,6060,0,1.4070
50,1000,1000,10000,1000,50,5997,0,1.4084
50,1000,1000,10000,1000,50,5984,0,1.3902
50,1000,1000,10000,1000,50,5994,0,1.3879
50,1000,1000,10000,1000,50,5966,0,1.3827
50,1000,1000,10000,1000,50,5969,0,1.3780
50,1000,1000,10000,1000,50,5933,0,1.3722
50,1000,1000,10000,1000,50,6025,0,1.3936
50,1000,1000,10000,1000,50,5999,0,1.3834
50,1000,1000,10000,1000,50,6031,0,1.3847


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.700;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,7115,0,1.3666
50,1000,1000,10000,1000,50,7111,0,1.3885
50,1000,1000,10000,1000,50,6935,0,1.3849
50,1000,1000,10000,1000,50,6959,0,1.3695
50,1000,1000,10000,1000,50,7047,0,1.3696
50,1000,1000,10000,1000,50,7027,0,1.3824
50,1000,1000,10000,1000,50,7237,0,1.3807
50,1000,1000,10000,1000,50,7032,0,1.3881
50,1000,1000,10000,1000,50,6984,0,1.3821
50,1000,1000,10000,1000,50,7016,0,1.3820


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,7943,0,1.4273
50,1000,1000,10000,1000,50,8040,0,1.4202
50,1000,1000,10000,1000,50,7986,0,1.4255
50,1000,1000,10000,1000,50,7959,0,1.4344
50,1000,1000,10000,1000,50,8173,0,1.4270
50,1000,1000,10000,1000,50,8044,0,1.4277
50,1000,1000,10000,1000,50,7998,0,1.4207
50,1000,1000,10000,1000,50,8076,0,1.4156
50,1000,1000,10000,1000,50,7973,0,1.4164
50,1000,1000,10000,1000,50,8074,0,1.4104


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.900;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,8964,0,1.3363
50,1000,1000,10000,1000,50,9081,0,1.3325
50,1000,1000,10000,1000,50,8984,0,1.3350
50,1000,1000,10000,1000,50,9151,0,1.3489
50,1000,1000,10000,1000,50,8929,0,1.3758
50,1000,1000,10000,1000,50,9089,0,1.3509
50,1000,1000,10000,1000,50,8994,0,1.3817
50,1000,1000,10000,1000,50,8807,0,1.3403
50,1000,1000,10000,1000,50,9137,0,1.3463
50,1000,1000,10000,1000,50,8958,0,1.3462


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 1.000;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
50,1000,1000,10000,1000,50,10036,0,1.5382
50,1000,1000,10000,1000,50,9974,0,1.5036
50,1000,1000,10000,1000,50,9951,0,1.5159
50,1000,1000,10000,1000,50,9909,0,1.4723
50,1000,1000,10000,1000,50,9932,0,1.4775
50,1000,1000,10000,1000,50,9891,0,1.4915
50,1000,1000,10000,1000,50,9914,0,1.4540
50,1000,1000,10000,1000,50,9975,0,1.4913
50,1000,1000,10000,1000,50,9948,0,1.4501
50,1000,1000,10000,1000,50,10189,0,1.4903


