generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,13,1000,589,0,0,0.0038
800,1000,1000,13,1000,593,0,0,0.0039
800,1000,1000,12,1000,585,0,0,0.0037
800,1000,1000,12,1000,581,0,0,0.0069
800,1000,1000,12,1000,596,0,0,0.0045
800,1000,1000,12,1000,586,0,0,0.0034
800,1000,1000,12,1000,587,0,0,0.0036
800,1000,1000,12,1000,582,0,0,0.0038
800,1000,1000,12,1000,591,0,0,0.0037
800,1000,1000,13,1000,583,0,0,0.004
,,,,,587.3,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.200;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,13,1000,609,0,0,0.0076
800,1000,1000,12,1000,618,0,0,0.0067
800,1000,1000,13,1000,609,0,0,0.0073
800,1000,1000,12,1000,599,0,0,0.0075
800,1000,1000,12,1000,620,0,0,0.0068
800,1000,1000,12,1000,610,0,0,0.007
800,1000,1000,12,1000,612,0,0,0.0071
800,1000,1000,13,1000,604,0,0,0.0073
800,1000,1000,13,1000,609,0,0,0.0094
800,1000,1000,13,1000,612,0,0,0.007
,,,,,610.2,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.300;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,14,1000,624,0,0,0.0148
800,1000,1000,14,1000,634,0,0,0.0111
800,1000,1000,13,1000,627,0,0,0.0147
800,1000,1000,14,1000,629,0,0,0.0136
800,1000,1000,14,1000,638,0,0,0.0127
800,1000,1000,14,1000,633,0,0,0.0127
800,1000,1000,14,1000,629,0,0,0.0161
800,1000,1000,14,1000,632,0,0,0.0123
800,1000,1000,14,1000,639,0,0,0.0121
800,1000,1000,14,1000,646,0,0,0.013
,,,,,633.1,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.400;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,15,1000,661,0,0,0.0174
800,1000,1000,15,1000,645,0,0,0.0177
800,1000,1000,14,1000,648,0,0,0.0153
800,1000,1000,14,1000,660,0,0,0.0196
800,1000,1000,18,1000,662,0,0,0.0211
800,1000,1000,14,1000,663,0,0,0.0197
800,1000,1000,14,1000,654,0,0,0.0166
800,1000,1000,15,1000,661,0,0,0.0202
800,1000,1000,14,1000,650,0,0,0.017
800,1000,1000,15,1000,656,0,0,0.0175
,,,,,656,0,,
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.500;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,16,1000,689,0,0,0.0206
800,1000,1000,15,1000,697,0,0,0.0199
800,1000,1000,19,1000,680,0,0,0.0221
800,1000,1000,18,1000,691,0,0,0.0219
800,1000,1000,15,1000,688,0,0,0.0195
800,1000,1000,17,1000,680,0,0,0.0216
800,1000,1000,16,1000,678,0,0,0.02
800,1000,1000,16,1000,691,0,0,0.0188
800,1000,1000,17,1000,689,0,0,0.0216
800,1000,1000,16,1000,687,0,0,0.0204
,,,,,687,0,,
