generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
35,1000,1000,12,1000,646,0,0,0.0035
35,1000,1000,12,1000,641,0,0,0.0034
35,1000,1000,12,1000,651,0,0,0.0038
34,1000,1000,12,1000,657,0,0,0.0037
34,1000,1000,12,1000,655,0,0,0.0041
34,1000,1000,12,1000,649,0,0,0.0039
35,1000,1000,11,1000,648,0,0,0.0037
34,1000,1000,12,1000,664,0,0,0.0042
35,1000,1000,11,1000,647,0,0,0.0041
35,1000,1000,11,1000,658,0,0,0.004
,,,11.7,,651.6,,,0.00384
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.200;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
56,1000,1000,12,1000,676,0,0,0.0067
57,1000,1000,12,1000,677,0,0,0.0073
56,1000,1000,13,1000,680,0,0,0.0076
56,1000,1000,13,1000,669,0,0,0.0073
55,1000,1000,13,1000,682,0,0,0.0083
57,1000,1000,12,1000,678,0,0,0.0071
58,1000,1000,13,1000,675,0,0,0.007
56,1000,1000,12,1000,684,0,0,0.0073
56,1000,1000,12,1000,672,0,0,0.0083
56,1000,1000,12,1000,674,0,0,0.0072
,,,12.4,,676.7,,,0.00741
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.300;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
80,1000,1000,14,1000,697,0,0,0.013
77,1000,1000,13,1000,703,0,0,0.012
79,1000,1000,14,1000,710,0,0,0.012
79,1000,1000,14,1000,689,0,0,0.0125
79,1000,1000,13,1000,692,0,0,0.0121
77,1000,1000,12,1000,697,0,0,0.0117
81,1000,1000,13,1000,695,0,0,0.0117
77,1000,1000,14,1000,717,0,0,0.0117
77,1000,1000,13,1000,699,0,0,0.012
78,1000,1000,13,1000,708,0,0,0.0122
,,,13.3,,700.7,,,0.01209
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.400;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
101,1000,1000,14,1000,721,0,0,0.0152
102,1000,1000,14,1000,739,0,0,0.0157
101,1000,1000,14,1000,736,0,0,0.0156
103,1000,1000,15,1000,735,0,0,0.0168
101,1000,1000,14,1000,728,0,0,0.0159
103,1000,1000,14,1000,713,0,0,0.0159
101,1000,1000,13,1000,731,0,0,0.0151
102,1000,1000,17,1000,736,0,0,0.0175
102,1000,1000,14,1000,748,0,0,0.0158
104,1000,1000,15,1000,701,0,0,0.0178
,,,14.4,,728.8,,,0.01613
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.500;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
129,1000,1000,17,1000,755,0,0,0.0232
131,1000,1000,14,1000,768,0,0,0.0191
